"","Mother.ID","Dolphin.Name","NextCalfName","Death.Date","NextCalfBDay","Observation.ID","Observation.Date","Dolphin.ID.Certainty","Mom.Name","MomBDay","MomDDay","CensoredFour","ObsCount","Gap","dup"
"25","NOO","CAVITY","KINDLE",2008-08-13,2011-11-25,16941,2009-07-04,"HIGH","NOOK",1974-11-01,2014-05-01,0,72,305,FALSE
"26","MYS","COLDCASE","SUSPICION",2019-01-25,2020-11-01,26278,2019-11-10,"HIGH","MYSTIQUE",1999-01-01,NA,0,6,99,FALSE
"27","GMP","CRIMP","SHRIMP",2013-03-15,2014-01-01,19355,2013-10-30,"HIGH","GIMP",1997-11-01,NA,0,10,99,FALSE
"28","RHO","CUBIC","DIAMOND",2011-03-21,2012-11-01,18263,2012-06-15,"HIGH","RHOMBUS",1997-10-08,NA,0,75,242,FALSE
"29","CYR","CYRUS","CASANOVA",2017-04-27,2018-12-01,25347,2018-08-13,"HIGH","CYRANO",1989-11-01,NA,0,33,271,FALSE
"30","DID","DABBLE","PUDDLE",2003-01-27,2005-11-20,14797,2005-04-19,"HIGH","DIDDLE",1972-11-01,2007-05-01,0,212,175,FALSE
"31","TAL","DAYTONA","CHITTY CHITTY BANG BANG",2016-03-11,2021-11-01,25532,2019-05-12,"HIGH","TALLADEGA",1992-11-01,NA,0,14,705,FALSE
"32","JUI","DESICCATED","JUNGLE",2015-12-26,2018-12-15,25241,2018-09-09,"HIGH","JUICY",2001-11-01,NA,0,42,279,FALSE
"33","SOG","DEWDROP","DOUSE",2016-04-14,2017-11-19,22095,2017-05-18,"HIGH","SOGGY",1991-11-01,NA,0,44,252,FALSE
"34","WOM","DIPROTODON","BOODIE",2000-12-19,2003-05-01,10536,2002-05-29,"HIGH","WOMBAT",1988-11-01,2009-05-01,0,48,246,FALSE
"35","BSS","DIVINE","BADABING",2017-04-14,2018-10-27,24696,2018-06-21,"HIGH","BLISS",1998-12-12,2019-07-26,0,105,228,FALSE
"36","PIC","DIZI","PANFLUTE",2017-03-16,2018-10-14,24876,2018-06-03,"HIGH","PICCOLO",1992-12-06,NA,0,90,177,FALSE
"37","DID","DOODLE","FIDDLE",1998-05-05,2000-01-01,7363,1999-02-18,"HIGH","DIDDLE",1972-11-01,2007-05-01,0,168,73,FALSE
"38","BLK","DOONA","SNUGGIE",2012-04-13,2013-08-01,18491,2012-08-10,"HIGH","BLANKIE",1996-11-01,NA,0,9,33,FALSE
"39","BLI","DRONE","RIPLEY",1990-06-25,1993-12-01,2853,1992-07-10,"HIGH","BLIP",1970-11-01,NA,0,106,208,FALSE
"40","JUI","DROPLET","DESICCATED",2014-12-20,2015-12-10,20323,2015-04-25,"HIGH","JUICY",2001-11-01,NA,0,28,118,FALSE
"41","DUC","DUKE","MARQUIS",2010-07-26,2013-02-15,18028,2011-09-15,"HIGH","DUCHESS",1993-12-22,NA,0,16,310,FALSE
"42","TRY","DYCKY","BEANIE",2000-07-28,2003-02-15,9494,2001-07-06,"HIGH","TRYCKY",1971-11-01,2015-05-01,0,42,282,FALSE
"43","ALT","EDNA","ODYSSEY",2014-12-07,2016-02-15,20969,2015-08-06,"HIGH","ALTHEA",1988-11-01,NA,0,10,222,FALSE
"44","DUN","EINSTEIN","KLUTZ",2005-04-08,2010-04-15,16336,2007-06-14,"HIGH","DUNCE",1982-11-01,2010-07-01,0,24,645,FALSE
"45","VBE","ELSIE","MATSO",2019-03-15,2020-10-15,26010,2019-10-29,"HIGH","VEEBIE",1997-11-01,NA,0,21,104,FALSE
"46","PZL","ENIGMA","PARADOX",2018-12-30,2020-11-01,25983,2019-10-09,"HIGH","PUZZLE",1997-11-01,NA,0,8,67,FALSE
"47","POL","EXORCIST","HALLOWEEN",2014-05-09,2015-10-21,20344,2015-04-27,"HIGH","POLTERGEIST",1994-11-01,2019-05-01,0,26,122,FALSE
"48","DID","FIDDLE","DABBLE",2000-05-13,2002-11-02,9192,2001-05-22,"HIGH","DIDDLE",1972-11-01,2007-05-01,0,252,172,FALSE
"49","FLI","FLOAT","FRODO",2003-10-12,2004-12-01,13474,2004-06-16,"HIGH","FLIP",1983-11-01,2008-07-23,0,78,44,FALSE
"50","SKF","FLUFFY","ZUFF",2018-01-28,2021-12-22,25569,2019-05-19,"HIGH","SKRUFF",1994-11-01,NA,0,150,203,FALSE
"51","LIC","FRENCHY","SMOOCH",2015-05-03,2017-11-02,26501,2017-05-17,"HIGH","LICK",1984-11-01,NA,0,252,222,FALSE
"52","GAB","FRIDA","MANU",2014-03-14,2015-10-25,20344,2015-04-27,"HIGH","GABRIELLA",1990-11-01,NA,0,32,122,FALSE
"53","FLI","FRODO","FLY",2005-06-13,2008-01-12,16303,2007-06-08,"HIGH","FLIP",1983-11-01,2008-07-23,0,54,239,FALSE
"54","FRL","FROLIC","FOSSEY",2019-01-09,2021-09-01,25952,2019-09-25,"HIGH","FRILLY",1995-11-01,NA,0,16,50,FALSE
"55","CRO","FUDGE","COOKIE",1987-04-05,1988-10-06,674,1988-04-19,"HIGH","CROOKEDFIN",1960-11-01,1992-05-08,0,40,180,FALSE
"56","GOD","GHIRARDELLI",NA,2014-01-11,NA,25025,2017-10-01,"HIGH","GODIVA",1982-11-01,2019-12-15,0,19,381,FALSE
"57","JOY","GLEE","YIPEE",2005-01-24,2006-12-26,15479,2006-05-08,"HIGH","JOY",1979-12-25,2011-05-01,0,68,166,FALSE
