"","Dolphin.ID","Dolphin.Name","Sex","Mother.ID","Haplotype","Birth.Date","Birth.Date.Primary.Assigner","Birth.Date.Accuracy","Death.Date","Death.Date.Primary.Assigner","Death.Date.Accuracy","NextCalfBDay","NextCalfBDayAccuracy","NextCalfName","NextCalfID","NextCalfBDayAssigner","Mom.Name","MomBDay","MomDDay","CalfAgeDeath","MomAgeBirth","TimeToNextBirth","DeathMonth","Season"
"203","AVA","AVATAR","UNKNOWN","RIP","E",2020-11-15,"JM","MONTH ESTIMATE",2021-06-09,"JM","MONTH ESTIMATE",2022-10-24,"DAY ESTIMATE","SIGOURNEY","SGR","ERJ","RIPLEY",1993-12-01,NA,206,9846,502,6,0
"204","LMG","LEMONGRASS",NA,"SAS","A",2007-03-09,"JM","WEEK ESTIMATE",2008-01-20,"JM","MONTH ESTIMATE",2009-10-26,"DAY ESTIMATE","ROOTBEER","RTB","EK","SASSAFRAS",1995-11-01,2014-05-01,317,4146,645,1,1
"205","RTB","ROOTBEER","UNKNOWN","SAS","A",2009-10-26,"EK","DAY ESTIMATE",2011-03-15,"SAS","MONTH ESTIMATE",2012-08-04,"WEEK ESTIMATE","CINNAMON","CNM","EK","SASSAFRAS",1995-11-01,2014-05-01,505,5108,508,3,0
"206","CNM","CINNAMON","UNKNOWN","SAS","A",2012-08-04,"EK","WEEK ESTIMATE",2014-05-01,"EK","MONTH ESTIMATE",NA,NA,NA,NA,NA,"SASSAFRAS",1995-11-01,2014-05-01,635,6121,NA,5,0
"207","RAF","RAFIKI","UNKNOWN","SBA",NA,2015-05-21,"JM","DAY ESTIMATE",2016-01-23,"JM","MONTH ESTIMATE",2023-04-01,"WEEK ESTIMATE","MUFASA","MFA","VF","SIMBA",1989-11-01,NA,247,9332,2625,1,1
"208","PRL","PEARL",NA,"SCA","E",1996-12-01,"KH","WEEK ESTIMATE",1996-12-20,"JM","MONTH ESTIMATE",1998-02-01,"MONTH ESTIMATE","CARPE DIEM","CRP","JM","SCALLOP",1977-11-01,2018-05-01,19,6970,408,12,1
"209","PUK","PUKA","UNKNOWN","SCA","E",2017-04-01,"EK","MONTH ESTIMATE",2017-07-08,"EK","WEEK ESTIMATE",NA,NA,NA,NA,NA,"SCALLOP",1977-11-01,2018-05-01,98,14396,NA,7,0
"210","KAW","KAWASAKI","UNKNOWN","SCT","C",2012-09-26,"EK","DAY ESTIMATE",2013-02-06,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"SCOOTER",1987-11-01,NA,133,9096,NA,2,0
"211","TLG","TRILOGY","UNKNOWN","SEQ","C",2014-02-01,"JM","MONTH ESTIMATE",2014-11-28,"EK","MONTH ESTIMATE",NA,NA,NA,NA,NA,"SEQUEL",1999-03-01,2017-05-01,300,5451,NA,11,1
"212","SOD","SOSAD","UNKNOWN","SHC","A",2017-04-21,"DIC","DAY ESTIMATE",2017-04-23,"EK","DAY ESTIMATE",NA,NA,NA,NA,NA,"SHOCK",1994-10-25,2018-07-27,2,8214,NA,4,0
"213","SOT","STOUT",NA,"SHO","E",2018-12-07,"JM","WEEK ESTIMATE",2019-03-06,"JM","MONTH ESTIMATE",2022-05-01,"WEEK ESTIMATE","SCREECH","SCC","VF","SHOUT",1989-11-01,NA,89,10628,1152,3,0
